channel_1,wifi_name_1,speed_1,channel_2,wifi_name_2,speed_2,channel_3,wifi_name_3,speed_3,channel_4,wifi_name_4,speed_4
1~3,wi_gen(~5m),46,1~3,wi_gen(~3m) L_Technology_FB80 2G(~56m),50 25,1~3,wi_gen(~2m) wi_gen(~3m) wi_gen(~39m),54 50 28,1~3,wi_gen(~4m) L_Technology_FB80 2G(~5m),49 46
4~7,Null,Null,4~7,Null,Null,4~7,Null,Null,4~7,Null,Null
8~10,Null,Null,8~10,Null,Null,8~10,Null,Null,8~10,Null,Null
11~14,wi_gen(~19m),34,11~14,wi_gen(~24m),32,11~14,wi_gen(~27m),31,11~14,Null,Null
36~42,wi_gen(~1m) wi_gen(~21m),58 27,36~42,wi_gen(~1m) wi_gen(~18m),53 28,36~42,wi_gen(~1m) wi_gen(~18m),50 28,36~42,wi_gen(~1m) wi_gen(~7m) wi_gen(~103m),57 36 13
43~49,Null,Null,43~49,Null,Null,43~49,Null,Null,43~49,Null,Null
50~64,Null,Null,50~64,Null,Null,50~64,Null,Null,50~64,Null,Null
100~115,wi_gen(~19m),27,100~115,wi_gen(~12m),31,100~115,wi_gen(~22m),26,100~115,wi_gen(~24m),25
116~147,Null,Null,116~147,Null,Null,116~147,Null,Null,116~147,Null,Null
148~164,L_Technology_FB90(~93m),13,148~164,L_Technology_FB90(~74m),15,148~164,L_Technology_FB90(~59m),17,148~164,L_Technology_FB90(~59m),17
148~156,wi_gen(~0m) wi_gen(~10m),69 32,148~156,wi_gen(~0m) wi_gen(~7m) wi_gen(~12m),59 35 31,148~156,wi_gen(~1m) wi_gen(~7m) wi_gen(~104m),56 35 12,148~156,wi_gen(~0m) wi_gen(~4m) wi_gen(~37m),67 41 21
